size;n;k;comp;swaps
select;200;0;362;1154
select;200;0;349;1033
select;200;0;406;1237
select;200;0;334;1056
select;200;0;387;1199
select;200;0;377;1151
select;200;0;396;1200
select;200;0;391;1180
select;200;0;364;1171
select;200;0;398;1185
select;200;0;345;1116
select;200;0;416;1243
select;200;0;338;990
select;200;0;419;1274
select;200;0;347;1107
select;200;0;396;1240
select;200;0;348;1095
select;200;0;340;997
select;200;0;352;1056
select;200;0;407;1228
select;200;0;377;1111
select;200;0;343;1075
select;200;0;379;1185
select;200;0;400;1178
select;200;0;395;1154
select;200;0;361;1073
select;200;0;354;1082
select;200;0;393;1177
select;200;0;371;1074
select;200;0;358;1152
select;200;0;378;1183
select;200;0;405;1191
select;200;0;396;1210
select;200;0;389;1200
select;200;0;371;1090
select;200;0;400;1208
select;200;0;374;1181
select;200;0;362;1100
select;200;0;370;1074
select;200;0;393;1233
select;200;0;327;997
select;200;0;383;1139
select;200;0;403;1252
select;200;0;385;1158
select;200;0;397;1233
select;200;0;376;1126
select;200;0;340;1050
select;200;0;405;1236
select;200;0;390;1201
select;200;0;356;1096
select;200;0;373;1157
select;200;0;364;1150
select;200;0;360;1075
select;200;0;352;1088
select;200;0;376;1078
select;200;0;367;1118
select;200;0;369;1125
select;200;0;355;1040
select;200;0;342;1077
select;200;0;363;1164
select;200;0;372;1129
select;200;0;371;1136
select;200;0;405;1189
select;200;0;348;1064
select;200;0;376;1153
select;200;0;318;948
select;200;0;364;1102
select;200;0;367;1115
select;200;0;349;1117
select;200;0;370;1144
select;200;0;401;1234
select;200;0;404;1275
select;200;0;381;1170
select;200;0;393;1192
select;200;0;377;1161
select;200;0;372;1151
select;200;0;330;984
select;200;0;310;958
select;200;0;377;1229
select;200;0;376;1172
select;200;0;365;1132
select;200;0;363;1080
select;200;0;311;999
select;200;0;383;1161
select;200;0;349;1087
select;200;0;394;1170
select;200;0;331;1023
select;200;0;381;1149
select;200;0;316;937
select;200;0;338;1035
select;200;200/4;341;1090
select;200;200/4;
select;200;200/4;371;1105
select;200;200/4;
select;200;200/4;
select;200;200/4;324;948
select;200;200/4;314;966
select;200;200/4;367;1109
select;200;200/4;270;882
select;200;200/4;304;902
select;200;200/4;354;1086
select;200;200/4;299;890
select;200;200/4;344;1088
select;200;200/4;
select;200;200/4;355;1043
select;200;200/4;352;1051
select;200;200/4;282;874
select;200;200/4;
select;200;200/4;
select;200;200/4;377;1122
select;200;200/4;
select;200;200/4;369;1095
select;200;200/4;
select;200;200/4;
select;200;200/4;323;1045
select;200;200/4;
select;200;200/4;359;1094
select;200;200/4;380;1150
select;200;200/4;316;999
select;200;200/4;372;1141
select;200;200/4;366;1136
select;200;200/4;324;1016
select;200;200/4;340;1031
select;200;200/4;333;950
select;200;200/4;
select;200;200/4;
select;200;200/4;347;1081
select;200;200/4;352;1073
select;200;200/4;
select;200;200/4;364;1067
select;200;200/4;362;1098
select;200;200/4;
select;200;200/4;358;1038
select;200;200/4;368;1116
select;200;200/4;332;1002
select;200;200/4;413;1206
select;200;200/4;
select;200;200/4;
select;200;200/4;358;1069
select;200;200/4;
select;200;200/4;323;974
select;200;200/4;305;932
select;200;200/4;
select;200;200/4;372;1121
select;200;200/4;349;1077
select;200;200/4;355;1029
select;200;200/4;360;1056
select;200;200/4;309;960
select;200;200/4;
select;200;200/4;358;1075
select;200;200/4;323;947
select;200;200/4;373;1138
select;200;200/4;380;1131
select;200;200/4;277;867
select;200;200/4;352;1075
select;200;200/4;394;1159
select;200;200/4;337;1044
select;200;200/4;
select;200;200/4;341;1023
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;332;1000
select;200;200/4;286;861
select;200;200/4;314;1007
select;200;200/4;334;1087
select;200;200/4;326;970
select;200;200/4;
select;200;200/4;347;1078
select;200;200/4;
select;200;200/4;365;1098
select;200;200/4;338;1076
select;200;200/4;390;1161
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;352;1050
select;200;200/4;
select;200;200/4;355;1147
select;200;200/4;
select;200;200/4;385;1143
select;200;200/4;366;1125
select;200;200/4;349;1061
select;200;200/4;373;1154
select;200;200/4;
select;200;200/4;
select;200;200/2;352;1069
select;200;200/2;364;1099
select;200;200/2;363;1100
select;200;200/2;
select;200;200/2;353;1100
select;200;200/2;
select;200;200/2;347;1022
select;200;200/2;334;1067
select;200;200/2;
select;200;200/2;367;1102
select;200;200/2;353;1085
select;200;200/2;334;1042
select;200;200/2;291;876
select;200;200/2;352;1031
select;200;200/2;
select;200;200/2;305;884
select;200;200/2;377;1156
select;200;200/2;
select;200;200/2;
select;200;200/2;287;839
select;200;200/2;362;1107
select;200;200/2;403;1173
select;200;200/2;393;1167
select;200;200/2;
select;200;200/2;368;1184
select;200;200/2;376;1177
select;200;200/2;357;1068
select;200;200/2;369;1140
select;200;200/2;
select;200;200/2;355;1058
select;200;200/2;
select;200;200/2;351;1067
select;200;200/2;378;1117
select;200;200/2;352;1058
select;200;200/2;327;957
select;200;200/2;366;1098
select;200;200/2;326;935
select;200;200/2;360;1037
select;200;200/2;334;1024
select;200;200/2;346;1066
select;200;200/2;302;902
select;200;200/2;344;1043
select;200;200/2;295;840
select;200;200/2;
select;200;200/2;326;959
select;200;200/2;339;1035
select;200;200/2;343;1092
select;200;200/2;363;1180
select;200;200/2;
select;200;200/2;389;1146
select;200;200/2;341;1006
select;200;200/2;
select;200;200/2;301;928
select;200;200/2;
select;200;200/2;311;908
select;200;200/2;
select;200;200/2;357;1134
select;200;200/2;368;1074
select;200;200/2;374;1125
select;200;200/2;
select;200;200/2;
select;200;200/2;356;1033
select;200;200/2;356;1115
select;200;200/2;341;1031
select;200;200/2;
select;200;200/2;
select;200;200/2;347;1053
select;200;200/2;361;1085
select;200;200/2;348;1059
select;200;200/2;
select;200;200/2;306;945
select;200;200/2;
select;200;200/2;371;1067
select;200;200/2;352;1062
select;200;200/2;315;978
select;200;200/2;
select;200;200/2;387;1135
select;200;200/2;381;1084
select;200;200/2;295;938
select;200;200/2;343;1019
select;200;200/2;381;1135
select;200;200/2;370;1093
select;200;200/2;385;1140
select;200;200/2;
select;200;200/2;327;1021
select;200;200/2;314;983
select;200;200/2;
select;200;200/2;340;987
select;200;200/2;
select;200;200/2;354;1088
select;200;200/2;336;1021
select;200;200/2;
select;200;200/2;357;1102
select;200;200/2;334;1050
select;200;200/2;
select;200;200/2;321;956
select;200;200/2;400;1179
select;200;200/2;330;1056
select;200;200/2;
select;200;200/2;347;1045
select;200;200-1;386;1124
select;200;200-1;
select;200;200-1;305;973
select;200;200-1;
select;200;200-1;374;1090
select;200;200-1;337;1074
select;200;200-1;346;1129
select;200;200-1;
select;200;200-1;370;1155
select;200;200-1;334;967
select;200;200-1;355;1082
select;200;200-1;338;1029
select;200;200-1;271;879
select;200;200-1;358;1093
select;200;200-1;349;1073
select;200;200-1;401;1183
select;200;200-1;
select;200;200-1;
select;200;200-1;388;1138
select;200;200-1;327;1016
select;200;200-1;331;1020
select;200;200-1;358;1062
select;200;200-1;286;872
select;200;200-1;
select;200;200-1;379;1119
select;200;200-1;357;1123
select;200;200-1;348;1079
select;200;200-1;352;1072
select;200;200-1;383;1150
select;200;200-1;359;1078
select;200;200-1;
select;200;200-1;377;1164
select;200;200-1;
select;200;200-1;352;1099
select;200;200-1;336;1002
select;200;200-1;342;1086
select;200;200-1;385;1099
select;200;200-1;
select;200;200-1;328;1041
select;200;200-1;
select;200;200-1;390;1223
select;200;200-1;342;1023
select;200;200-1;394;1146
select;200;200-1;
select;200;200-1;330;1022
