type;n;k;comp;swaps
select;200;200/2;461;843
select;200;200/2;
select;200;200/2;476;898
select;200;200/2;498;939
select;200;200/2;462;854
select;200;200/2;417;796
select;200;200/2;489;906
select;200;200/2;534;974
select;200;200/2;
select;200;200/2;444;804
select;200;200/2;
select;200;200/2;522;975
select;200;200/2;
select;200;200/2;481;915
select;200;200/2;420;841
select;200;200/2;511;928
select;200;200/2;485;890
select;200;200/2;472;906
select;200;200/2;466;899
select;200;200/2;489;889
select;200;200/2;494;946
select;200;200-1;
select;200;200-1;
select;200;200-1;459;877
select;200;200-1;475;868
select;200;200-1;
select;200;200-1;457;875
select;200;200-1;471;936
select;200;200-1;510;929
select;200;200-1;469;874
select;200;200-1;526;952
select;200;200-1;488;876
select;200;200-1;490;899
select;200;200-1;483;906
select;200;200-1;476;883
select;200;200-1;
select;200;200-1;418;793
select;200;200-1;452;839
select;200;200-1;
select;200;200-1;458;845
select;200;200-1;
select;200;200-1;509;935
select;200;200-1;456;855
select;200;200-1;518;932
select;200;200-1;439;812
select;200;200-1;474;869
select;200;200-1;417;776
select;200;200-1;515;976
select;200;200-1;
select;200;200-1;438;837
select;200;200-1;452;861
select;200;200-1;403;819
select;200;200-1;498;916
select;200;200-1;482;838
select;200;200-1;516;936
select;200;200-1;455;865
select;200;200-1;477;874
select;200;200-1;
select;200;200-1;508;938
select;200;200-1;492;937
select;200;200-1;467;866
select;200;200-1;
select;200;200-1;471;881
select;200;200-1;509;939
select;200;200-1;572;1036
select;200;200-1;443;844
select;200;200-1;443;815
select;200;200-1;472;882
select;200;200-1;461;892
select;200;200-1;459;869
select;200;200-1;486;923
select;200;200-1;463;897
select;200;200-1;426;781
select;200;200-1;438;857
select;200;200-1;479;925
select;200;200-1;
select;200;200-1;484;906
select;200;200-1;489;912
select;200;200-1;469;914
select;200;200-1;
select;200;200-1;437;844
select;200;200-1;
select;200;200-1;460;847
select;200;200-1;533;957
select;200;200-1;470;900
select;200;200-1;440;825
select;200;200-1;502;921
select;200;200-1;
select;200;200-1;474;907
select;200;200-1;476;859
select;200;200-1;
select;200;200-1;460;885
select;200;200-1;548;984
select;200;200-1;468;894
select;200;200-1;522;976
select;200;200-1;
select;200;200-1;482;902
select;200;200-1;451;848
select;200;200-1;531;992
select;200;200-1;503;906
select;200;200-1;496;918
select;200;200-1;508;974
select;200;200-1;477;870
select;200;200-1;433;798
select;200;200-1;490;916
select;200;200-1;497;910
select;200;200-1;
select;200;200-1;484;884
select;200;200-1;
select;200;200-1;424;788
select;200;200-1;426;825
select;200;200-1;479;906
select;200;200-1;513;950
select;200;200-1;449;862
select;200;200-1;
select;200;200-1;392;768
select;200;200-1;518;981
select;200;200-1;482;912
select;200;200-1;
select;200;200-1;517;949
select;200;200-1;590;1040
select;300;0;787;1456
select;300;0;771;1424
select;300;0;786;1413
select;300;0;748;1383
select;300;0;778;1440
select;300;0;762;1390
select;300;0;790;1502
select;300;0;832;1560
select;300;0;769;1381
select;300;0;782;1444
select;300;0;709;1318
select;300;0;756;1428
select;300;0;853;1593
select;300;0;799;1462
select;300;0;755;1386
select;300;0;774;1468
select;300;0;801;1450
select;300;0;810;1520
select;300;0;809;1519
select;300;0;820;1515
select;300;0;785;1457
select;300;0;779;1496
select;300;0;816;1545
select;300;0;821;1516
select;300;0;736;1392
select;300;0;834;1544
select;300;0;744;1399
select;300;0;863;1595
select;300;0;798;1476
select;300;0;851;1589
select;300;0;765;1429
select;300;0;833;1555
select;300;0;752;1394
select;300;0;818;1581
select;300;0;822;1509
select;300;0;809;1488
select;300;0;747;1384
select;300;0;760;1469
select;300;0;769;1456
select;300;0;797;1510
select;300;0;743;1316
select;300;0;790;1407
select;300;0;763;1422
select;300;0;722;1391
select;300;0;799;1485
select;300;0;871;1594
select;300;0;759;1438
select;300;0;851;1563
select;300;0;846;1547
select;300;0;860;1593
select;300;0;813;1516
select;300;0;792;1482
select;300;0;703;1291
select;300;0;792;1451
select;300;0;811;1485
select;300;0;777;1374
select;300;0;839;1597
select;300;0;777;1455
select;300;0;796;1452
select;300;0;749;1437
select;300;0;749;1393
select;300;0;834;1556
select;300;0;804;1489
select;300;0;800;1462
select;300;0;822;1517
select;300;0;782;1461
select;300;0;803;1483
select;300;0;828;1568
select;300;0;782;1428
select;300;0;760;1425
select;300;0;772;1476
select;300;0;773;1379
select;300;0;742;1342
select;300;0;840;1577
select;300;0;816;1485
select;300;0;886;1610
select;300;0;776;1454
select;300;0;656;1188
select;300;0;853;1532
