type;n;k;comp;swaps
qselect: 1895, total number of comparisons: 0, total number of swaps: 0
rselect: 32, total number of comparisons: 83, total number of swaps: 95
qselect: 2450, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 4023, total number of swaps: 4051
qselect: 169, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1541, total number of swaps: 1559
qselect: 2421, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 126, total number of swaps: 136
qselect: 2080, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 1057, total number of swaps: 1085
qselect: 1000, total number of comparisons: 0, total number of swaps: 0
rselect: 37, total number of comparisons: 2141, total number of swaps: 2159
qselect: 681, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1343, total number of swaps: 1365
qselect: 505, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 3218, total number of swaps: 3244
qselect: 2598, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 159, total number of swaps: 183
qselect: 2708, total number of comparisons: 0, total number of swaps: 0
rselect: 30, total number of comparisons: 1660, total number of swaps: 1672
qselect: 64, total number of comparisons: 0, total number of swaps: 0
rselect: 11, total number of comparisons: 250, total number of swaps: 264
qselect: 1541, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1565, total number of swaps: 1579
qselect: 2795, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 2060, total number of swaps: 2084
qselect: 1990, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 1390, total number of swaps: 1402
qselect: 758, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 999, total number of swaps: 1019
qselect: 3138, total number of comparisons: 0, total number of swaps: 0
rselect: 11, total number of comparisons: 265, total number of swaps: 289
qselect: 803, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 526, total number of swaps: 542
qselect: 2973, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 2915, total number of swaps: 2941
qselect: 341, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1574, total number of swaps: 1592
qselect: 2987, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 1392, total number of swaps: 1408
qselect: 957, total number of comparisons: 0, total number of swaps: 0
rselect: 31, total number of comparisons: 4824, total number of swaps: 4848
qselect: 1774, total number of comparisons: 0, total number of swaps: 0
rselect: 10, total number of comparisons: 142, total number of swaps: 152
qselect: 1319, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 4314, total number of swaps: 4340
qselect: 2122, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 1064, total number of swaps: 1080
qselect: 3334, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 1433, total number of swaps: 1453
qselect: 2549, total number of comparisons: 0, total number of swaps: 0
rselect: 13, total number of comparisons: 1918, total number of swaps: 1936
qselect: 3000, total number of comparisons: 0, total number of swaps: 0
rselect: 15, total number of comparisons: 668, total number of swaps: 684
qselect: 958, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 566, total number of swaps: 584
qselect: 1338, total number of comparisons: 0, total number of swaps: 0
rselect: 31, total number of comparisons: 2214, total number of swaps: 2240
qselect: 2665, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 1200, total number of swaps: 1214
qselect: 172, total number of comparisons: 0, total number of swaps: 0
rselect: 25, total number of comparisons: 1517, total number of swaps: 1525
qselect: 0, total number of comparisons: 0, total number of swaps: 0
rselect: 28, total number of comparisons: 1277, total number of swaps: 1297
qselect: 3177, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 578, total number of swaps: 594
qselect: 2418, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 628, total number of swaps: 644
qselect: 2860, total number of comparisons: 0, total number of swaps: 0
rselect: 12, total number of comparisons: 1780, total number of swaps: 1792
qselect: 1479, total number of comparisons: 0, total number of swaps: 0
rselect: 16, total number of comparisons: 1108, total number of swaps: 1130
qselect: 3394, total number of comparisons: 0, total number of swaps: 0
rselect: 35, total number of comparisons: 965, total number of swaps: 981
qselect: 892, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 1532, total number of swaps: 1546
qselect: 2547, total number of comparisons: 0, total number of swaps: 0
rselect: 27, total number of comparisons: 5354, total number of swaps: 5384
qselect: 448, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 2321, total number of swaps: 2339
qselect: 3480, total number of comparisons: 0, total number of swaps: 0
rselect: 18, total number of comparisons: 5260, total number of swaps: 5292
qselect: 3414, total number of comparisons: 0, total number of swaps: 0
rselect: 17, total number of comparisons: 1857, total number of swaps: 1871
qselect: 2313, total number of comparisons: 0, total number of swaps: 0
rselect: 23, total number of comparisons: 3343, total number of swaps: 3363
qselect: 1217, total number of comparisons: 0, total number of swaps: 0
rselect: 17, total number of comparisons: 4081, total number of swaps: 4107
qselect: 779, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 1014, total number of swaps: 1024
qselect: 1934, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 471, total number of swaps: 485
qselect: 2197, total number of comparisons: 0, total number of swaps: 0
rselect: 28, total number of comparisons: 2063, total number of swaps: 2087
qselect: 714, total number of comparisons: 0, total number of swaps: 0
rselect: 24, total number of comparisons: 2517, total number of swaps: 2533
qselect: 1485, total number of comparisons: 0, total number of swaps: 0
rselect: 26, total number of comparisons: 335, total number of swaps: 351
qselect: 3302, total number of comparisons: 0, total number of swaps: 0
rselect: 20, total number of comparisons: 1228, total number of swaps: 1260
qselect: 422, total number of comparisons: 0, total number of swaps: 0
rselect: 30, total number of comparisons: 695, total number of swaps: 707
qselect: 3254, total number of comparisons: 0, total number of swaps: 0
rselect: 25, total number of comparisons: 1210, total number of swaps: 1242
qselect: 1738, total number of comparisons: 0, total number of swaps: 0
rselect: 15, total number of comparisons: 1328, total number of swaps: 1344
qselect: 687, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 2400, total number of swaps: 2422
qselect: 2951, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 2485, total number of swaps: 2511
qselect: 106, total number of comparisons: 0, total number of swaps: 0
rselect: 23, total number of comparisons: 1239, total number of swaps: 1259
qselect: 3589, total number of comparisons: 0, total number of swaps: 0
rselect: 15, total number of comparisons: 896, total number of swaps: 914
qselect: 3438, total number of comparisons: 0, total number of swaps: 0
rselect: 21, total number of comparisons: 3814, total number of swaps: 3846
qselect: 928, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 204, total number of swaps: 218
qselect: 3697, total number of comparisons: 0, total number of swaps: 0
rselect: 15, total number of comparisons: 5953, total number of swaps: 5979
qselect: 1249, total number of comparisons: 0, total number of swaps: 0
rselect: 14, total number of comparisons: 1140, total number of swaps: 1158
qselect: 1429, total number of comparisons: 0, total number of swaps: 0
rselect: 22, total number of comparisons: 1176, total number of swaps: 1200
qselect: 2930, total number of comparisons: 0, total number of swaps: 0
rselect: 30, total number of comparisons: 1337, total number of swaps: 1367
qselect: 796, total number of comparisons: 0, total number of swaps: 0
rselect: 17, total number of comparisons: 1369, total number of swaps: 1391
qselect: 3878, total number of comparisons: 0, total number of swaps: 0
rselect: 9, total number of comparisons: 672, total number of swaps: 686
qselect: 299, total number of comparisons: 0, total number of swaps: 0
rselect: 15, total number of comparisons: 1886, total number of swaps: 1900
qselect: 3898, total number of comparisons: 0, total number of swaps: 0
rselect: 19, total number of comparisons: 386, total number of swaps: 400
qselect: 762, total number of comparisons: 0, total number of swaps: 0
rselect: 11, total number of comparisons: 1060, total number of swaps: 1080
qselect: 2991, total number of comparisons: 0, total number of swaps: 0
