type;n;k;comp;shifts
select;100;100-1;223;436
select;100;100-1;
select;100;100-1;207;407
select;100;100-1;194;396
select;100;100-1;232;447
select;100;100-1;227;432
select;100;100-1;219;397
select;100;100-1;165;358
select;100;100-1;
select;100;100-1;202;392
select;100;100-1;221;401
select;100;100-1;189;364
select;200;0;487;882
select;200;0;517;994
select;200;0;521;1011
select;200;0;541;1017
select;200;0;480;925
select;200;0;479;881
select;200;0;543;1014
select;200;0;486;920
select;200;0;533;1004
select;200;0;467;914
select;200;0;490;945
select;200;0;460;877
select;200;0;513;949
select;200;0;536;990
select;200;0;460;842
select;200;0;530;1010
select;200;0;503;947
select;200;0;464;918
select;200;0;534;1017
select;200;0;529;1005
select;200;0;527;964
select;200;0;529;963
select;200;0;514;964
select;200;0;521;1025
select;200;0;501;920
select;200;0;602;1110
select;200;0;496;877
select;200;0;516;958
select;200;0;547;1069
select;200;0;518;945
select;200;0;498;901
select;200;0;520;986
select;200;0;533;1001
select;200;0;510;935
select;200;0;448;876
select;200;0;501;946
select;200;0;511;939
select;200;0;476;908
select;200;0;512;975
select;200;0;535;1029
select;200;0;560;1063
select;200;0;472;887
select;200;0;464;893
select;200;0;525;1021
select;200;0;529;968
select;200;0;530;1007
select;200;0;534;1030
select;200;0;560;1008
select;200;0;530;1012
select;200;0;539;1020
select;200;0;528;965
select;200;0;575;1131
select;200;0;472;881
select;200;0;482;951
select;200;0;542;1025
select;200;0;543;1064
select;200;0;483;946
select;200;0;555;1035
select;200;0;505;975
select;200;0;479;926
select;200;0;507;969
select;200;0;537;1012
select;200;0;549;1054
select;200;0;575;1099
select;200;0;577;1064
select;200;0;526;934
select;200;0;483;911
select;200;0;479;932
select;200;0;495;928
select;200;0;529;999
select;200;0;577;1079
select;200;0;535;1025
select;200;0;536;1017
select;200;0;520;928
select;200;0;557;1033
select;200;0;537;1016
select;200;0;508;927
select;200;0;552;1033
select;200;0;467;857
select;200;0;575;1050
select;200;0;476;893
select;200;0;537;1026
select;200;0;521;990
select;200;0;502;948
select;200;0;493;965
select;200;0;431;800
select;200;0;484;926
select;200;0;485;915
select;200;0;533;1041
select;200;0;495;929
select;200;0;499;934
select;200;0;579;1025
select;200;0;491;923
select;200;0;513;957
select;200;0;428;857
select;200;0;447;844
select;200;0;517;982
select;200;0;557;1051
select;200;0;533;997
select;200;0;503;954
select;200;200/4;
select;200;200/4;428;796
select;200;200/4;454;815
select;200;200/4;467;889
select;200;200/4;426;837
select;200;200/4;481;904
select;200;200/4;499;925
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;537;964
select;200;200/4;509;902
select;200;200/4;512;966
select;200;200/4;455;833
select;200;200/4;
select;200;200/4;477;913
select;200;200/4;462;863
select;200;200/4;487;909
select;200;200/4;
select;200;200/4;441;861
select;200;200/4;512;945
select;200;200/4;438;825
select;200;200/4;477;923
select;200;200/4;
select;200;200/4;475;884
select;200;200/4;
select;200;200/4;456;839
select;200;200/4;512;965
select;200;200/4;
select;200;200/4;529;959
select;200;200/4;489;903
select;200;200/4;
select;200;200/4;469;890
select;200;200/4;379;735
select;200;200/4;
select;200;200/4;404;760
select;200;200/4;490;933
select;200;200/4;502;913
select;200;200/4;436;820
select;200;200/4;
select;200;200/4;452;853
select;200;200/4;
select;200;200/4;458;894
select;200;200/4;498;925
select;200;200/4;
select;200;200/4;469;869
select;200;200/4;413;795
select;200;200/4;489;880
select;200;200/4;
select;200;200/4;474;900
select;200;200/4;465;900
select;200;200/4;436;842
select;200;200/4;
select;200;200/4;513;938
select;200;200/4;
select;200;200/4;469;842
select;200;200/4;504;929
select;200;200/4;469;880
select;200;200/4;494;910
select;200;200/4;486;880
select;200;200/4;535;969
select;200;200/4;492;915
select;200;200/4;
select;200;200/4;419;814
select;200;200/4;
select;200;200/4;498;926
select;200;200/4;
select;200;200/4;487;922
select;200;200/4;516;926
select;200;200/4;457;896
select;200;200/4;514;923
select;200;200/4;482;915
select;200;200/4;
select;200;200/4;
select;200;200/4;445;849
select;200;200/4;471;881
select;200;200/4;484;911
select;200;200/4;505;927
select;200;200/4;
select;200;200/4;454;863
select;200;200/4;
select;200;200/4;
select;200;200/4;
select;200;200/4;476;901
select;200;200/4;
select;200;200/4;
select;200;200/4;427;815
select;200;200/4;476;894
select;200;200/4;
select;200;200/4;475;888
select;200;200/4;535;993
select;200;200/4;529;982
select;200;200/4;466;903
select;200;200/4;
select;200;200/4;512;929
select;200;200/4;
select;200;200/4;
select;200;200/4;488;897
select;200;200/4;508;947
select;200;200/4;524;962
select;200;200/2;530;992
select;200;200/2;472;899
select;200;200/2;
select;200;200/2;469;872
select;200;200/2;
select;200;200/2;490;912
select;200;200/2;507;909
select;200;200/2;500;943
select;200;200/2;474;909
select;200;200/2;454;869
select;200;200/2;513;948
select;200;200/2;448;843
select;200;200/2;487;907
select;200;200/2;464;860
select;200;200/2;
select;200;200/2;
select;200;200/2;481;901
select;200;200/2;450;897
select;200;200/2;
select;200;200/2;534;968
select;200;200/2;571;1041
select;200;200/2;447;834
select;200;200/2;455;830
select;200;200/2;461;881
select;200;200/2;
select;200;200/2;
select;200;200/2;484;882
select;200;200/2;462;887
select;200;200/2;481;884
select;200;200/2;486;930
select;200;200/2;487;900
select;200;200/2;
select;200;200/2;
select;200;200/2;452;874
select;200;200/2;498;929
select;200;200/2;479;905
select;200;200/2;474;904
select;200;200/2;466;842
select;200;200/2;
select;200;200/2;498;916
select;200;200/2;453;827
select;200;200/2;433;819
select;200;200/2;421;790
select;200;200/2;477;888
select;200;200/2;409;797
select;200;200/2;576;1044
select;200;200/2;521;956
select;200;200/2;
select;200;200/2;476;874
select;200;200/2;420;813
select;200;200/2;
select;200;200/2;466;892
select;200;200/2;
select;200;200/2;516;975
select;200;200/2;482;847
select;200;200/2;409;775
select;200;200/2;448;857
select;200;200/2;453;883
select;200;200/2;484;874
select;200;200/2;
select;200;200/2;
select;200;200/2;448;853
select;200;200/2;523;972
select;200;200/2;453;828
select;200;200/2;490;933
select;200;200/2;474;897
select;200;200/2;537;989
select;200;200/2;409;821
select;200;200/2;
select;200;200/2;493;913
select;200;200/2;425;788
select;200;200/2;483;885
select;200;200/2;
select;200;200/2;516;979
select;200;200/2;
select;200;200/2;517;965
select;200;200/2;544;984
select;200;200/2;
select;200;200/2;546;970
select;200;200/2;560;970
select;200;200/2;462;889
select;200;200/2;500;939
select;200;200/2;532;967
select;200;200/2;
select;200;200/2;415;766
select;200;200/2;
select;200;200/2;
select;200;200/2;525;966
select;200;200/2;513;933
select;200;200/2;
select;200;200/2;
select;200;200/2;460;879
select;200;200/2;512;928
select;200;200/2;443;826
select;200;200/2;475;841
select;200;200/2;
select;200;200/2;497;942
select;200;200/2;494;912
select;200;200/2;534;985
select;200;200/2;
select;200;200-1;501;898
select;200;200-1;475;908
select;200;200-1;504;935
select;200;200-1;437;822
select;200;200-1;540;972
select;200;200-1;504;920
select;200;200-1;460;874
select;200;200-1;
select;200;200-1;461;849
select;200;200-1;
select;200;200-1;434;823
select;200;200-1;487;919
select;200;200-1;
select;200;200-1;503;942
select;200;200-1;516;943
select;200;200-1;408;763
select;200;200-1;440;805
select;200;200-1;467;895
select;200;200-1;518;951
select;200;200-1;470;873
select;200;200-1;459;898
select;200;200-1;461;845
select;200;200-1;485;913
select;200;200-1;518;936
select;200;200-1;
select;200;200-1;
select;200;200-1;519;957
select;200;200-1;490;864
select;200;200-1;511;956
select;200;200-1;510;949
select;200;200-1;
select;200;200-1;424;818
select;200;200-1;
select;200;200-1;529;931
select;200;200-1;
select;200;200-1;443;817
select;200;200-1;427;837
select;200;200-1;463;911
select;200;200-1;465;906
select;200;200-1;
select;200;200-1;516;967
select;200;200-1;454;859
select;200;200-1;
select;200;200-1;482;921
select;200;200-1;
select;200;200-1;541;974
select;200;200-1;
select;200;200-1;
select;200;200-1;447;864
select;200;200-1;
select;200;200-1;
select;200;200-1;
select;200;200-1;476;892
select;200;200-1;508;947
select;200;200-1;528;982
select;200;200-1;478;888
select;200;200-1;463;872
select;200;200-1;487;907
select;200;200-1;465;892
select;200;200-1;431;834
select;200;200-1;
select;200;200-1;503;928
select;200;200-1;
select;200;200-1;518;965
select;200;200-1;428;841
select;200;200-1;
select;200;200-1;
select;200;200-1;472;888
select;200;200-1;495;902
select;200;200-1;452;874
select;200;200-1;
select;200;200-1;447;819
select;200;200-1;
select;200;200-1;474;903
select;200;200-1;
select;200;200-1;
select;200;200-1;482;893
select;200;200-1;483;878
select;200;200-1;482;907
select;200;200-1;
select;200;200-1;513;949
select;200;200-1;469;898
select;200;200-1;481;902
select;200;200-1;
select;200;200-1;572;1030
select;200;200-1;511;945
select;200;200-1;470;839
select;200;200-1;439;814
select;200;200-1;507;926
select;200;200-1;514;953
select;200;200-1;491;930
select;200;200-1;443;826
